sample_id,illumina_r1
Rush_KPC_POP_27,Rush_KPC_POP_27_R1.fastq.gz
Rush_KPC_POP_28,Rush_KPC_POP_28_R1.fastq.gz
Rush_KPC_POP_29,Rush_KPC_POP_29_R1.fastq.gz
Rush_KPC_POP_31,Rush_KPC_POP_31_R1.fastq.gz
Rush_KPC_POP_41,Rush_KPC_POP_41_R1.fastq.gz
Rush_KPC_POP_42,Rush_KPC_POP_42_R1.fastq.gz
Rush_KPC_POP_43,Rush_KPC_POP_43_R1.fastq.gz
Rush_KPC_POP_44,Rush_KPC_POP_44_R1.fastq.gz
Rush_KPC_POP_45,Rush_KPC_POP_45_R1.fastq.gz
Rush_KPC_POP_96,Rush_KPC_POP_96_R1.fastq.gz
